comparison_id,country,region,sector,trade_volume,year,quarter,growth_rate,market_share
45,Netherlands,Europe,"Heritage Tourism",512000000.00,2022,3,11.80,6.20
46,Spain,Europe,"Maritime Technology",512000000.00,2022,1,2.80,6.80
47,Spain,Europe,"Creative Industries",478000000.00,2022,1,4.50,6.90
48,Spain,Europe,"Heritage Tourism",685000000.00,2022,1,3.60,9.00
49,Spain,Europe,"Maritime Technology",532000000.00,2022,2,3.90,7.00
50,Spain,Europe,"Creative Industries",505000000.00,2022,2,5.60,7.20
51,Spain,Europe,"Heritage Tourism",785000000.00,2022,2,14.60,9.90
52,Spain,Europe,"Maritime Technology",552000000.00,2022,3,3.80,7.20
53,Spain,Europe,"Creative Industries",538000000.00,2022,3,6.50,7.70
54,Spain,Europe,"Heritage Tourism",895000000.00,2022,3,14.00,10.90
55,Tunisia,"North Africa","Maritime Technology",178000000.00,2022,1,4.10,2.40
56,Tunisia,"North Africa","Creative Industries",105000000.00,2022,1,6.20,1.50
57,Tunisia,"North Africa","Heritage Tourism",285000000.00,2022,1,4.80,3.80
58,Tunisia,"North Africa","Maritime Technology",187000000.00,2022,2,5.10,2.40
59,Tunisia,"North Africa","Creative Industries",115000000.00,2022,2,9.50,1.60
60,Tunisia,"North Africa","Heritage Tourism",325000000.00,2022,2,14.00,4.10
61,Tunisia,"North Africa","Maritime Technology",198000000.00,2022,3,5.90,2.60
62,Tunisia,"North Africa","Creative Industries",128000000.00,2022,3,11.30,1.80
63,Tunisia,"North Africa","Heritage Tourism",378000000.00,2022,3,16.30,4.60
64,Egypt,"North Africa","Maritime Technology",312000000.00,2022,1,3.80,4.10
65,Egypt,"North Africa","Creative Industries",185000000.00,2022,1,7.20,2.70
66,Egypt,"North Africa","Heritage Tourism",495000000.00,2022,1,5.50,6.50
67,Egypt,"North Africa","Maritime Technology",328000000.00,2022,2,5.10,4.30
68,Egypt,"North Africa","Creative Industries",202000000.00,2022,2,9.20,2.90
69,Egypt,"North Africa","Heritage Tourism",568000000.00,2022,2,14.70,7.20
70,Egypt,"North Africa","Maritime Technology",348000000.00,2022,3,6.10,4.60
71,Egypt,"North Africa","Creative Industries",223000000.00,2022,3,10.40,3.20
72,Egypt,"North Africa","Heritage Tourism",658000000.00,2022,3,15.80,8.00
